event,predicted,smooth,lower,upper
In-hospital death,0.19557818182736886,0.20526028327147747,0.1748832747847269,0.2373213940471563
In-hospital death,0.20491786809657153,0.21806910911486838,0.18647867884478958,0.2510020910946329
In-hospital death,0.21425755436577426,0.23076157533061534,0.19842101928864686,0.2647039541255807
In-hospital death,0.22359724063497693,0.24322888173514476,0.20978764722795548,0.27810810948529224
In-hospital death,0.23293692690417966,0.25538009593313404,0.2207724583023365,0.2915444277287522
In-hospital death,0.24227661317338234,0.2671445800583172,0.23123519314738405,0.3043161884483281
In-hospital death,0.25161629944258507,0.27847242859366894,0.2408590008159892,0.31688899280253746
In-hospital death,0.2609559857117878,0.2893333060113638,0.25042841328381016,0.3298174663962427
In-hospital death,0.27029567198099047,0.2997142551475371,0.25929461542832155,0.341774343145112
In-hospital death,0.2796353582501932,0.30961707707844655,0.26760003788831077,0.35230693597834933
In-hospital death,0.2889750445193959,0.31905579052875127,0.27606630443895636,0.363051778787737
In-hospital death,0.2983147307885986,0.3280545150612124,0.28492148345505275,0.37329828988232455
In-hospital death,0.3076544170578013,0.3366459389566288,0.2921222793443894,0.38292775235085663
In-hospital death,0.316994103327004,0.34487036739670934,0.29869538528211503,0.3922939860020309
In-hospital death,0.32633378959620674,0.3527752190785334,0.3058293929092684,0.4014107841362152
In-hospital death,0.3356734758654094,0.36041475487258656,0.31247109129516515,0.40976843720626055
In-hospital death,0.34501316213461214,0.3678497774381319,0.3198153576005221,0.4177609640199084
In-hospital death,0.3543528484038148,0.3751470304842822,0.3260392686919092,0.4258999133862462
In-hospital death,0.36369253467301754,0.38237804719562607,0.33227900984645287,0.4349380018706981
In-hospital death,0.37303222094222027,0.3896172493009203,0.33913843004508953,0.4421574563361886
In-hospital death,0.38237190721142295,0.3969391839606981,0.34581858261117265,0.4510570880586047
In-hospital death,0.3917115934806257,0.40441490707724814,0.35253637953724376,0.45950448346159695
In-hospital death,0.40105127974982835,0.41210767543595356,0.3598809461478961,0.46752123652156896
In-hospital death,0.4103909660190311,0.42006828248560185,0.3671880984763351,0.4769945626282677
In-hospital death,0.4197306522882338,0.4283305359901231,0.3754208875251378,0.48636805797428784
In-hospital death,0.4290703385574365,0.43690749003910206,0.3823770669500624,0.49735180928831246
In-hospital death,0.4384100248266392,0.44578906415182956,0.3890010844786178,0.5076187362070761
In-hospital death,0.4477497110958419,0.4549415738069028,0.39791950300691614,0.5174557330890878
In-hospital death,0.4570893973650446,0.46430945287735026,0.40696810611771334,0.5271884784288191
In-hospital death,0.4664290836342473,0.4738191027174799,0.41505399054629516,0.5372575731277123
In-hospital death,0.47576876990345,0.483384427774349,0.4226782921670785,0.5478846461375269
In-hospital death,0.48510845617265275,0.4929133068283079,0.4307336044518065,0.5580881217597023
In-hospital death,0.4944481424418554,0.5023140851465862,0.4392899245963849,0.567984520070915
In-hospital death,0.5037878287110582,0.5115011984874259,0.4478148425170123,0.5794100599752737
In-hospital death,0.5131275149802609,0.5203992425512072,0.4554431850976284,0.5901320756182713
In-hospital death,0.5224672012494636,0.52894512095644,0.4640970733575608,0.5997403961409397
In-hospital death,0.5318068875186662,0.5370882577198435,0.4715301728733327,0.6086485902195619
In-hospital death,0.541146573787869,0.5447891689139459,0.4779295529906809,0.6172530452284788
In-hospital death,0.5504862600570717,0.5520169016219816,0.482627785444285,0.6252435622545907
In-hospital death,0.5598259463262744,0.558745948556383,0.48815127041392553,0.6317659209675935
In-hospital death,0.5691656325954771,0.5649532428784555,0.49279941559124935,0.6389296630173061
In-hospital death,0.5785053188646798,0.5706157540059366,0.4960885093535681,0.6457554362127522
In-hospital death,0.5878450051338825,0.5757090692740079,0.5007791085121119,0.652462701344093
In-hospital death,0.5971846914030852,0.5802071826814339,0.505415117519121,0.6569496939831241
In-hospital death,0.606524377672288,0.5840835400139196,0.509311671709633,0.6618930516299146
In-hospital death,0.6158640639414906,0.5873132254315462,0.5133003038954104,0.6664098793609196
In-hospital death,0.6252037502106933,0.5898760333485049,0.5150092534166876,0.6700319160663036
In-hospital death,0.6345434364798961,0.5917600666206474,0.5149861734535931,0.6738765383306042
In-hospital death,0.6438831227490988,0.5929654519623889,0.5158139693203703,0.6769881446706287
In-hospital death,0.6532228090183014,0.5935077753008747,0.5131003957212851,0.6783448111332163
In-hospital death,0.6625624952875041,0.5934209128916815,0.5097543042906282,0.6800106539225798
In-hospital death,0.6719021815567069,0.5927590552896418,0.5054737903123963,0.6821392557607401
In-hospital death,0.6812418678259096,0.5915978656945771,0.5022816079478989,0.6830340621150254
In-hospital death,0.6905815540951122,0.5900348500102098,0.4995550912895455,0.6860828460140276
In-hospital death,0.699921240364315,0.5881891124576928,0.4933991025635856,0.6888937135344705
In-hospital death,0.7092609266335177,0.5862007058631377,0.4903278169607038,0.688770832630386
In-hospital death,0.7186006129027204,0.5842297515129415,0.4850890215992959,0.6899312545594821
In-hospital death,0.7279402991719232,0.582455405672329,0.4809908531739,0.6899659746423705
In-hospital death,0.7372799854411258,0.5810746056504195,0.4762111245092854,0.6900826838483416
In-hospital death,0.7466196717103285,0.5803003617005167,0.4740619714577302,0.6917046812287518
In-hospital death,0.7559593579795313,0.5803591996444911,0.47252164091932075,0.6950430518789125
