feature,repeat,importance,fold,model
albumin,1,1.4262795879294021e-05,1,Histogram gradient boosting
albumin,2,-0.0001715534662513063,1,Histogram gradient boosting
bilirubin,1,0.002266678502744063,1,Histogram gradient boosting
bilirubin,2,0.002093109126117293,1,Histogram gradient boosting
creatinine,1,0.00041481999262460434,1,Histogram gradient boosting
creatinine,2,0.0013523305108971706,1,Histogram gradient boosting
sodium,1,-0.0002617925850220415,1,Histogram gradient boosting
sodium,2,0.00013370065412993126,1,Histogram gradient boosting
arterial_ph,1,0.0012026904723084486,1,Histogram gradient boosting
arterial_ph,2,0.0012635039938246884,1,Histogram gradient boosting
glucose,1,0.000296130634135805,1,Histogram gradient boosting
glucose,2,-0.000623866937922879,1,Histogram gradient boosting
blood_urea_nitrogen,1,0.0016307796142054354,1,Histogram gradient boosting
blood_urea_nitrogen,2,0.00044828295674212426,1,Histogram gradient boosting
urine_output,1,0.0007436628213477459,1,Histogram gradient boosting
urine_output,2,0.00023199704752363548,1,Histogram gradient boosting
adl_patient_reported,1,0.024709076208190017,1,Histogram gradient boosting
adl_patient_reported,2,0.03453230257988105,1,Histogram gradient boosting
adl_surrogate_reported,1,0.002600018927445713,1,Histogram gradient boosting
adl_surrogate_reported,2,0.0026222310096692403,1,Histogram gradient boosting
sex,1,0.0001599572902075408,1,Histogram gradient boosting
sex,2,-7.182408852188238e-05,1,Histogram gradient boosting
race,1,6.599999594364414e-05,1,Histogram gradient boosting
race,2,4.812274815740869e-05,1,Histogram gradient boosting
income_category,1,1.5753963436837548e-06,1,Histogram gradient boosting
income_category,2,0.0003114498654277764,1,Histogram gradient boosting
diagnosis_group,1,0.010754046440678344,1,Histogram gradient boosting
diagnosis_group,2,0.008071272191899292,1,Histogram gradient boosting
diagnosis_class,1,0.006028653375040216,1,Histogram gradient boosting
diagnosis_class,2,0.005969119046233956,1,Histogram gradient boosting
diabetes,1,7.008326243551632e-05,1,Histogram gradient boosting
diabetes,2,6.232924660787287e-06,1,Histogram gradient boosting
dementia,1,0.00018224202432212677,1,Histogram gradient boosting
dementia,2,0.00012745284498880127,1,Histogram gradient boosting
cancer_status,1,-0.00031370630393165455,1,Histogram gradient boosting
cancer_status,2,-0.00034662767026427677,1,Histogram gradient boosting
age,1,4.819645560583119e-05,2,Histogram gradient boosting
age,2,0.002210762070586514,2,Histogram gradient boosting
years_of_education,1,9.097083549472473e-05,2,Histogram gradient boosting
years_of_education,2,0.0005225886364269294,2,Histogram gradient boosting
number_of_comorbidities,1,0.00034536376899732546,2,Histogram gradient boosting
number_of_comorbidities,2,0.0004891910364151764,2,Histogram gradient boosting
hospital_day_at_study_entry,1,0.008379792696387084,2,Histogram gradient boosting
hospital_day_at_study_entry,2,0.007286366417074114,2,Histogram gradient boosting
mean_arterial_pressure,1,0.0027542751471804072,2,Histogram gradient boosting
mean_arterial_pressure,2,0.002320332343336534,2,Histogram gradient boosting
white_blood_cell_count,1,0.00027424189670285926,2,Histogram gradient boosting
white_blood_cell_count,2,0.0003766023473817104,2,Histogram gradient boosting
heart_rate,1,0.0006898410687376788,2,Histogram gradient boosting
heart_rate,2,0.0008481469318667445,2,Histogram gradient boosting
respiratory_rate,1,-0.00038824008885643413,2,Histogram gradient boosting
respiratory_rate,2,0.000297472238499491,2,Histogram gradient boosting
temperature,1,0.0006628207775611628,2,Histogram gradient boosting
temperature,2,0.0002935743930253254,2,Histogram gradient boosting
pao2_fio2_ratio,1,0.00203287246450487,2,Histogram gradient boosting
pao2_fio2_ratio,2,0.0005666963989152396,2,Histogram gradient boosting
albumin,1,0.00016255234783976724,2,Histogram gradient boosting
albumin,2,-8.095431020213595e-05,2,Histogram gradient boosting
bilirubin,1,0.002980713032102039,2,Histogram gradient boosting
bilirubin,2,0.00319322804503519,2,Histogram gradient boosting
creatinine,1,0.0006898153101366489,2,Histogram gradient boosting
creatinine,2,0.0006009120957990444,2,Histogram gradient boosting
sodium,1,-0.0006263716458354829,2,Histogram gradient boosting
sodium,2,-0.0017383915741179257,2,Histogram gradient boosting
arterial_ph,1,0.0002912514320320414,2,Histogram gradient boosting
arterial_ph,2,0.0003653577479957315,2,Histogram gradient boosting
glucose,1,0.0013546117079551723,2,Histogram gradient boosting
glucose,2,0.0020854207059131935,2,Histogram gradient boosting
blood_urea_nitrogen,1,0.0005190989682000713,2,Histogram gradient boosting
blood_urea_nitrogen,2,7.951042388515406e-06,2,Histogram gradient boosting
urine_output,1,0.00016333450801833682,2,Histogram gradient boosting
urine_output,2,-0.0014365492230375976,2,Histogram gradient boosting
adl_patient_reported,1,0.033935987217461355,2,Histogram gradient boosting
adl_patient_reported,2,0.031754004107731604,2,Histogram gradient boosting
adl_surrogate_reported,1,0.002192613869346577,2,Histogram gradient boosting
adl_surrogate_reported,2,0.0024824033828041714,2,Histogram gradient boosting
sex,1,-5.302381565253089e-05,2,Histogram gradient boosting
